variance,curtosis,class
-0.89569,-3.6067,1
3.4769,2.53,0
3.9102,-2.4534,0
0.60731,-4.772,1
2.3718,0.015989,0
-2.2153,0.078538,0
3.9433,1.5215,0
3.931,-0.023425,0
3.9719,0.75973,0
0.55298,1.7048,1
0.26877,-5.1508,1
-1.1306,-1.3575,1
1.9572,8.6127,0
0.5706,1.2421,0
-1.1859,2.2635,1
3.2585,3.8024,0
5.0297,3.5025,0
0.39012,-0.031994,1
-0.2361,2.1307,0
0.3223,8.0883,0
5.1129,0.62863,0
3.0632,5.1305,0
4.0329,0.89082,0
1.1811,-2.0567,0
-3.0201,2.7056,1
-3.9172,0.78886,1
3.0009,-2.2306,0
-7.0364,0.16594,1
-0.29858,-2.9512,1
0.75108,-3.1098,1
-4.577,0.66719,1
1.0607,2.5188,0
3.4246,0.80342,0
-2.456,1.4041,1
-2.1652,-2.4132,1
-2.8833,0.68946,1
1.5456,0.4187,0
2.5331,-0.822,0
1.3419,8.09,0
4.3846,3.3662,0
-0.71868,3.8298,1
2.1265,0.44784,0
4.8368,-4.3239,0
-1.2568,2.8718,1
-0.69879,4.1211,1
1.5099,6.2332,0
4.988,-3.2846,0
-1.9983,4.8254,1
2.0193,4.6369,0
4.3398,3.8803,0
2.6415,-0.28562,0
-1.1022,4.5641,1
-2.2987,5.63,1
-2.9146,-0.45699,1
3.4669,-1.0568,0
3.6277,0.68861,0
-2.4198,0.70146,1
-0.38214,2.1624,0
4.0405,1.0279,0
0.5706,1.2421,0
0.96708,-4.9314,1
-0.24037,2.135,1
1.6799,-4.5398,1
4.1195,-3.8929,0
3.1836,-1.0713,0
0.12126,-0.47327,1
-0.2062,-3.7044,0
0.24261,-1.9402,1
0.81583,-5.2613,1
-1.2576,7.0078,0
1.0652,-1.4004,0
-3.2854,-0.45356,1
-0.49081,-3.6436,1
-4.6338,16.7166,1
2.2429,5.2333,0
-2.4953,1.9353,0
-1.6641,1.997,1
-1.2244,-1.4801,1
-5.2406,-0.19908,1
-1.0744,5.355,1
-1.4094,-0.10397,1
-2.3147,-0.6969,1
-1.1497,7.701,0
-2.2482,-2.3969,1
-0.36279,-1.9213,0
2.6718,0.72974,0
-2.4835,6.8964,1
0.58982,1.2353,0
2.1948,1.1582,0
3.5761,-3.9795,0
-3.4605,0.16165,1
4.1757,-3.8552,0
-3.8483,15.6824,1
-1.4781,-1.1622,1
-0.7869,-3.7867,0
3.9529,2.3792,0
4.5645,2.8684,0
0.5195,3.0895,0
5.262,-1.5572,0
-3,9.5766,1
-3.9933,0.62863,1
0.74067,-3.1963,1
-1.3,-2.953,0
-2.565,6.0122,1
-0.27802,-3.1338,0
-0.28015,-3.3857,1
0.39559,1.0588,0
4.0026,3.5573,0
4.1454,-1.9153,0
3.8969,-1.8245,0
-3.506,15.1606,1
-3.2305,11.6433,1
-3.6817,-0.69347,1
-2.9662,8.784,1
2.9742,-2.9024,0
-2.3797,1.1273,1
1.742,8.2142,0
-1.4217,-0.057699,0
3.0948,-2.9007,0
3.8905,2.6302,0
4.3937,2.0416,0
-5.873,-0.27448,1
-4.4775,17.0834,1
-2.9098,8.4156,1
-0.88728,-3.1432,1
-0.21661,1.8848,0
3.6702,0.85141,0
1.8114,-0.9788,0
-1.6386,-1.7302,1
-1.7886,5.6154,1
-2.4725,1.4855,1
5.2012,0.17965,0
-1.9409,9.155,1
1.162,-1.2821,0
0.25035,-3.6873,0
-0.69745,-0.34474,1
3.4776,-3.1886,0
-0.26654,-0.42014,1
-4.8554,10.9818,1
0.86736,1.6765,0
3.8496,-4.1508,0
4.2188,-1.2804,0
-2.7083,7.5339,1
4.8265,1.6371,0
0.5734,-0.9094,0
-3.0061,11.9552,1
4.6439,2.5976,0
3.2718,2.1161,0
1.4378,-2.0267,1
-1.522,5.7491,1
4.1373,1.093,0
1.2309,-4.8277,1
-2.62,6.2169,1
-2.8391,10.4849,1
3.6077,-1.1622,0
-0.83121,0.05369,1
-0.71494,2.2241,1
4.052,0.45383,0
-1.8356,5.0585,1
0.66365,-0.18794,1
1.8799,2.4931,0
5.0214,-3.0515,0
-0.95923,4.9857,1
3.1219,1.9259,0
4.1605,-3.6136,0
-1.4377,2.1144,1
2.3952,-3.1783,0
-3.6227,-0.35845,1
3.106,-4.2536,0
2.3969,4.8477,0
-0.39416,-0.066267,1
4.5679,-2.1055,0
0.6005,-3.2888,1
-3.5713,14.8881,1
1.3403,-4.7018,1
3.744,0.95851,0
4.0102,-4.1388,0
4.9852,-2.5425,0
2.8237,0.19678,0
2.5635,-0.61979,0
-3.3553,2.6473,1
3.0934,2.2232,0
-1.6176,-0.35502,1
1.8314,-0.036278,0
3.8962,3.3954,0
-0.12196,0.94566,0
0.65497,1.0673,0
0.48797,-4.3882,1
-0.36506,-3.6461,1
-6.5084,0.23191,1
-0.7056,2.2215,0
-3.7244,-0.035421,1
1.8384,0.54723,0
-0.51003,0.020273,1
0.518,-0.84085,1
-1.7582,-2.5323,1
-3.4083,-0.76888,1
2.0597,5.2119,0
4.4338,-4.6795,0
-0.16682,0.49839,0
-0.16108,8.3573,0
0.9297,4.6429,0
-0.24745,-2.4697,1
2.1881,1.3278,0
-4.5046,10.8867,1
2.486,5.3404,0
2.1752,5.1022,0
2.5227,2.7236,0
1.9157,0.23705,0
-0.53966,0.46583,0
-2.4115,9.3444,1
1.4806,-2.7876,0
3.5358,-0.81857,0
2.7296,0.51124,0
2.3678,8.4207,0
0.23874,-3.3522,1
1.0194,-2.3,1
-1.8584,-1.6643,0
-1.8348,3.1863,0
3.7935,-2.5477,0
3.9922,3.7304,0
3.9364,-3.725,0
-2.258,9.3727,1
-0.21888,-0.0954,1
3.9772,2.2566,0
-4.2333,-0.49212,1
-4.2859,3.1392,0
-3.0265,0.68604,1
1.2746,-1.5323,0
4.8451,-2.9512,0
6.0919,-1.3267,0
4.2406,1.608,0
3.4642,-3.4071,0
-2.5419,2.6842,1
-3.5933,0.7126,1
-2.5665,7.5416,1
-3.0986,8.9717,1
-1.3971,-1.3927,1
0.051979,-2.0541,0
-2.3675,1.692,1
-6.651,0.68604,1
4.3634,1.4281,0
-2.5084,1.488,1
3.359,-3.8209,0
5.6084,-4.8003,0
5.4021,-1.1536,0
-1.8387,5.6506,1
0.32924,4.5718,0
-2.7769,5.9179,1
-1.2943,-0.84085,1
-2.4458,-0.88541,1
4.5707,-3.2794,0
0.94225,1.8762,0
0.77124,-1.2281,0
3.7758,-1.5195,0
0.49571,-1.097,0
3.7818,2.2558,0
2.2893,0.6312,0
-1.6514,9.1122,1
0.9297,4.6429,0
-2.0042,9.3333,1
1.1644,-4.9408,1
-2.3629,1.9336,1
2.229,-3.1123,0
-0.33729,7.6659,0
1.4507,-2.2324,0
0.75896,-1.6506,1
3.7791,1.3098,0
-0.8471,-3.0112,1
-0.10648,7.7575,0
-3.1875,11.8678,1
-1.8219,5.4681,1
-1.0116,-0.90597,1
1.5673,-0.056842,0
4.4069,-4.5775,0
-0.7869,-3.7867,0
-0.86339,-2.3729,1
-2.0046,1.333,1
3.6216,-2.8073,0
4.2164,-4.9288,0
3.5288,1.9507,0
4.9342,-0.17594,0
-0.75793,-3.0464,1
4.9264,-2.4774,0
-3.8073,10.1772,1
3.2697,3.6884,0
6.8248,-2.5425,0
-2.3142,1.9833,1
0.3292,4.5718,0
0.96441,2.3235,0
2.6562,-3.3085,0
-0.30432,-2.7756,1
1.105,0.41099,0
-3.2692,15.5573,1
4.6352,2.6773,0
-6.7387,0.67833,1
1.6472,4.7449,0
0.96414,2.2138,0
3.9166,-4.0926,0
-2.4604,0.91738,0
-2.2214,0.56008,1
-0.10234,-2.2169,1
5.6272,-4.2931,0
0.94732,7.1903,0
-2.5373,8.8054,1
-1.6706,1.584,1
3.4667,4.2882,0
0.11686,-4.4379,1
-1.7279,8.9494,1
-5.4901,-0.38758,1
3.8584,1.1033,0
2.1526,8.0831,0
-1.9458,1.9079,0
-0.89409,-1.8219,1
0.64215,4.2933,0
2.5068,3.9249,0
-1.0833,1.2815,1
0.0031201,1.7956,1
2.0421,4.2171,0
-0.81479,4.3919,1
3.5438,1.997,0
-2.3242,1.8231,0
3.4663,1.7425,0
2.2546,-0.24877,0
-1.5449,9.6152,1
-1.4572,1.7425,0
4.8077,-0.26334,0
-0.95403,-2.3163,1
-1.3995,2.5154,1
-2.5754,6.103,1
2.3917,-4.9888,1
2.2517,4.2916,0
-1.2424,-0.52553,1
-1.7344,7.7618,0
-2.2083,8.9991,1
0.66191,-0.28819,0
-1.2528,2.1787,0
-2.9498,10.2646,1
2.5678,0.61406,0
-3.8167,-0.65063,1
-0.13144,8.3316,0
1.4578,4.1785,0
-4.7462,1.075,1
-0.0012852,-0.19651,1
2.7831,-3.557,0
-1.4446,-0.47241,1
-1.8411,2.769,0
-3.0731,2.3877,1
-1.7064,-2.2829,1
-0.21394,0.096532,1
0.77765,1.1941,0
1.04,8.2888,0
3.757,3.8255,0
-2.9786,0.52667,1
-2.3983,2.9464,0
-2.2677,-2.2563,1
0.32444,-1.1982,0
3.3848,0.90967,0
-4.2887,11.8387,1
5.3063,-2.8904,0
1.1317,3.3979,0
-2.2918,7.9597,1
-0.24811,4.9068,0
-2.7264,-0.49212,1
4.5447,-2.4166,0
3.82,-4.0112,0
2.2123,7.7687,0
1.1472,1.9387,0
-2.659,1.3647,1
-0.39816,1.3912,0
-0.64326,-2.9452,1
4.0632,0.72545,0
3.8027,2.1041,0
1.0637,-4.1594,1
0.3434,-0.28733,1
-6.5773,0.85483,1
-3.38,2.5325,1
2.5503,6.3729,0
-0.69078,-0.35417,1
0.75736,2.9164,0
2.9719,-0.2702,0
0.88298,6.0096,0
-1.3907,2.3055,1
-2.0066,9.0162,1
1.3264,5.6566,0
-0.70867,4.0483,1
-4.2932,0.77258,1
-0.52645,-0.45613,1
-0.2062,-3.7044,0
4.6499,-1.9427,0
2.0007,2.6491,0
3.1088,0.80857,0
2.2634,3.6558,0
-2.3211,-1.0002,1
-0.49948,-2.2469,1
-0.95923,6.2204,0
5.7823,-2.4089,0
-0.8734,-0.20165,1
4.0296,0.80685,0
0.72252,5.6703,0
0.14329,1.0039,1
-2.6649,12.6689,1
-2.0529,-0.79544,1
-1.3414,2.8093,1
2.994,-1.2153,0
3.577,1.8908,0
4.8272,0.68604,0
0.38251,1.8128,0
3.6667,0.55923,0
1.8664,-0.23849,0
2.0466,2.1761,0
